Date,Stock,Price
2024-06-03T00:00:00,MBB,22.6
2024-06-03T00:00:00,MSN,77.7
2024-06-03T00:00:00,MWG,64
2024-06-03T00:00:00,POW,13.45
2024-06-03T00:00:00,SHB,11.65
2024-06-03T00:00:00,STB,29.75
2024-06-03T00:00:00,TCB,23.575
2024-06-03T00:00:00,TPB,17.56265
2024-06-03T00:00:00,VHM,39.3
2024-06-03T00:00:00,VIB,22.3
2024-06-03T00:00:00,VIC,43.95
2024-06-03T00:00:00,VNM,66.1
2024-06-03T00:00:00,VPB,18.3
2024-06-03T00:00:00,VRE,22.3
2024-05-31T00:00:00,VN30,1275.97
2024-05-31T00:00:00,ACB,24.65
2024-05-31T00:00:00,FPT,116.24056
2024-05-31T00:00:00,HDB,23.25
2024-05-31T00:00:00,HPG,28.6
2024-05-31T00:00:00,MBB,21.75
2024-05-31T00:00:00,MSN,76.6
2024-05-31T00:00:00,MWG,63.6
2024-05-31T00:00:00,POW,12.6
2024-05-31T00:00:00,SHB,11.4
2024-05-31T00:00:00,STB,27.85
2024-05-31T00:00:00,TCB,23.5
2024-05-31T00:00:00,TPB,17.17345
2024-05-31T00:00:00,VHM,38.85
2024-05-31T00:00:00,VIB,21.75
2024-05-31T00:00:00,VIC,43.55
2024-05-31T00:00:00,VNM,65.4
2024-05-31T00:00:00,VPB,18
2024-05-31T00:00:00,VRE,21.75
2024-05-30T00:00:00,VN30,1279.29
2024-05-30T00:00:00,ACB,24.696
2024-05-30T00:00:00,FPT,116.586
2024-05-30T00:00:00,HDB,23.1
2024-05-30T00:00:00,HPG,28.25
2024-05-30T00:00:00,MBB,21.85
2024-05-30T00:00:00,MSN,77.2
2024-05-30T00:00:00,MWG,62.8
2024-05-30T00:00:00,POW,12.8
2024-05-30T00:00:00,SHB,11.4
2024-05-30T00:00:00,STB,27.85
2024-05-30T00:00:00,TCB,23.4
2024-05-30T00:00:00,TPB,17.2221
2024-05-30T00:00:00,VHM,39
2024-05-30T00:00:00,VIB,22
2024-05-30T00:00:00,VIC,43.15
2024-05-30T00:00:00,VNM,65.7
2024-05-30T00:00:00,VPB,17.95
2024-05-30T00:00:00,VRE,21.6
2024-05-29T00:00:00,VN30,1284.02
2024-05-29T00:00:00,ACB,24.57
2024-05-29T00:00:00,FPT,117.19052
2024-05-29T00:00:00,HDB,23.45
2024-05-29T00:00:00,HPG,28.6
2024-05-29T00:00:00,MBB,22.3
2024-05-29T00:00:00,MSN,75
2024-05-29T00:00:00,MWG,60.5
2024-05-29T00:00:00,POW,12.55
2024-05-29T00:00:00,SHB,11.55
2024-05-29T00:00:00,STB,28.25
2024-05-29T00:00:00,TCB,23.25
2024-05-29T00:00:00,TPB,17.2221
2024-05-29T00:00:00,VHM,39.45
2024-05-29T00:00:00,VIB,21.9
2024-05-29T00:00:00,VIC,44.4
2024-05-29T00:00:00,VNM,66.3
2024-05-29T00:00:00,VPB,18.05
2024-05-29T00:00:00,VRE,22.15
2024-05-28T00:00:00,VN30,1299.75
2024-05-28T00:00:00,ACB,24.906
2024-05-28T00:00:00,FPT,118.3132
2024-05-28T00:00:00,HDB,24.15
2024-05-28T00:00:00,HPG,29.15
2024-05-28T00:00:00,MBB,22.6
2024-05-28T00:00:00,MSN,75.5
2024-05-28T00:00:00,MWG,61.5
2024-05-28T00:00:00,POW,12.45
2024-05-28T00:00:00,SHB,11.7
2024-05-28T00:00:00,STB,28.85
2024-05-28T00:00:00,TCB,23.45
2024-05-28T00:00:00,TPB,17.36805
2024-05-28T00:00:00,VHM,39.95
2024-05-28T00:00:00,VIB,22.3
2024-05-28T00:00:00,VIC,45.05
2024-05-28T00:00:00,VNM,66.8
2024-05-28T00:00:00,VPB,18.05
2024-05-28T00:00:00,VRE,22.45
2024-05-27T00:00:00,VN30,1284.88
2024-05-27T00:00:00,ACB,24.738
2024-05-27T00:00:00,FPT,114.68608
2024-05-27T00:00:00,HDB,23.8
2024-05-27T00:00:00,HPG,28.9
2024-05-27T00:00:00,MBB,22.45
2024-05-27T00:00:00,MSN,73.5
2024-05-27T00:00:00,MWG,60
2024-05-27T00:00:00,POW,12.1
2024-05-27T00:00:00,SHB,11.6
2024-05-27T00:00:00,STB,28.7
2024-05-27T00:00:00,TCB,23.25
2024-05-27T00:00:00,TPB,17.2221
2024-05-27T00:00:00,VHM,39.8
2024-05-27T00:00:00,VIB,22
2024-05-27T00:00:00,VIC,45.05
2024-05-27T00:00:00,VNM,66.1
2024-05-27T00:00:00,VPB,18
2024-05-27T00:00:00,VRE,22.3
2024-05-24T00:00:00,VN30,1283.46
2024-05-24T00:00:00,ACB,24.57
2024-05-24T00:00:00,FPT,113.90884
2024-05-24T00:00:00,HDB,24.2
2024-05-24T00:00:00,HPG,28.9
2024-05-24T00:00:00,MBB,22.45
2024-05-24T00:00:00,MSN,73.5
2024-05-24T00:00:00,MWG,60.5
2024-05-24T00:00:00,POW,11.35
2024-05-24T00:00:00,SHB,11.55
2024-05-24T00:00:00,STB,28.7
2024-05-24T00:00:00,TCB,23.2
2024-05-24T00:00:00,TPB,17.27075
2024-05-24T00:00:00,VHM,39.8
2024-05-24T00:00:00,VIB,22
2024-05-24T00:00:00,VIC,44.95
2024-05-24T00:00:00,VNM,66
2024-05-24T00:00:00,VPB,18
2024-05-24T00:00:00,VRE,22.3
2024-05-23T00:00:00,VN30,1304.76
2024-05-23T00:00:00,ACB,23.898
2024-05-23T00:00:00,FPT,118.745
2024-05-23T00:00:00,HDB,24.7
2024-05-23T00:00:00,HPG,29.5
2024-05-23T00:00:00,MBB,22.8
2024-05-23T00:00:00,MSN,75.8
2024-05-23T00:00:00,MWG,62
2024-05-23T00:00:00,POW,11.55
2024-05-23T00:00:00,SHB,11.75
2024-05-23T00:00:00,STB,28.55
2024-05-23T00:00:00,TCB,23.25
2024-05-23T00:00:00,TPB,17.8059
2024-05-23T00:00:00,VHM,40.55
2024-05-23T00:00:00,VIB,22.25
2024-05-23T00:00:00,VIC,45.55
2024-05-23T00:00:00,VNM,67
2024-05-23T00:00:00,VPB,18.5
2024-05-23T00:00:00,VRE,23
2024-05-22T00:00:00,VN30,1291.46
2024-05-22T00:00:00,ACB,23.478
2024-05-22T00:00:00,FPT,119.1768
2024-05-22T00:00:00,HDB,24.35
2024-05-22T00:00:00,HPG,28.45483
2024-05-22T00:00:00,MBB,22.69888
2024-05-22T00:00:00,MSN,73.9
2024-05-22T00:00:00,MWG,61
2024-05-22T00:00:00,POW,11.35
2024-05-22T00:00:00,SHB,11.65
2024-05-22T00:00:00,STB,28
2024-05-22T00:00:00,TCB,23.2
2024-05-22T00:00:00,TPB,17.65995
2024-05-22T00:00:00,VHM,40.35
2024-05-22T00:00:00,VIB,22.2
2024-05-22T00:00:00,VIC,45.5
2024-05-22T00:00:00,VNM,65.8
2024-05-22T00:00:00,VPB,18.3
2024-05-22T00:00:00,VRE,23.15
2024-05-21T00:00:00,VN30,1308.62
2024-05-21T00:00:00,ACB,23.688
2024-05-21T00:00:00,FPT,117.4496
2024-05-21T00:00:00,HDB,24.7
2024-05-21T00:00:00,HPG,28.954835
2024-05-21T00:00:00,MBB,23.09024
2024-05-21T00:00:00,MSN,75.8
2024-05-21T00:00:00,MWG,60.5
2024-05-21T00:00:00,POW,11.3
2024-05-21T00:00:00,SHB,11.85
2024-05-21T00:00:00,STB,28.3
2024-05-21T00:00:00,TCB,23.6
2024-05-21T00:00:00,TPB,17.85455
