CW,TCPH,GDCC,Trần,Sàn,TC,Giá 3,KL 3,Giá 2,KL 2,Giá 1,KL 1,Giá,KL,+/-,+/- (%),Giá 1,KL 1,Giá 2,KL 2,Giá 3,KL 3,Tổng KL,Cao,Thấp,CK,Giá,Điểm hoà vốn,ĐHV-Giá TT,Giá TH,Tỉ lệ chuyển đổi
CVNM2314,KIS,3/10/2024,820,10,170,150,1000,160,100000,170,401800,170,1800,0,0,190,2000,200,23800,210,71000,253500,210,170,VNM,74900,86.48,11.58,85148,7.8398:1
CVNM2315,KIS,2/1/2025,2350,10,1050,1040,31000,1050,10000,1100,398600,1100,300,50,4.76,1110,222200,1200,10000,1220,25800,508700,1140,1040,VNM,74900,91.42,16.52,87108,3.9199:1
CVNM2401,ACBS,19/05/2025,2480,1220,1850,1830,3000,1840,2500,1850,1200,1850,13000,0,0,1880,50200,2000,7100,2060,100,209900,1950,1830,VNM,74900,80.8,5.9,66000,8:01
CVNM2402,HSC,4/12/2024,1710,450,1080,1060,30000,1080,200,1100,100,1120,10000,40,3.7,1180,30000,1200,5400,1300,100,70200,1190,1100,VNM,74900,79.46,4.56,70500,8:01
CVNM2403,SSI,12/11/2024,2570,30,1300,1320,103700,1340,26300,1350,148000,1360,300,60,4.62,1380,233000,1390,233100,1410,141500,40900,1450,1300,VNM,74900,80.44,5.54,75000,4:01
CVNM2404,SSI,10/10/2024,2970,430,1700,1750,77900,1770,19200,1790,112300,1820,500,120,7.06,1820,233000,1840,233400,1860,109100,96100,1940,1730,VNM,74900,77.28,2.38,70000,4:01
CVPB2315,SSI,7/1/2025,390,10,160,140,701400,150,1124000,160,452200,170,2000,10,6.25,170,771900,180,384700,190,559800,723400,170,150,VPB,18750,23.1,4.35,22173,5.4302:1
CVPB2318,KIS,3/10/2024,460,10,110,100,114000,110,100000,120,188000,130,74000,20,18.18,130,53100,140,70000,150,11700,369800,130,120,VPB,18750,22.7,3.95,22233,3.62:1
CVPB2319,KIS,2/1/2025,1310,10,600,560,191900,570,20000,610,212200,610,10000,10,1.67,620,22200,640,3000,,,366000,630,560,VPB,18750,23.84,5.09,22737,1.81:1
CVPB2322,VND,19/09/2024,540,10,200,180,1800,190,4600,200,10000,210,2200,10,5,210,400,220,6800,230,4700,459700,220,180,VPB,18750,19.79,1.04,18990,3.798:1
CVPB2401,ACBS,19/05/2025,1770,410,1090,1000,20000,1040,3000,1050,5500,1100,1200,10,0.92,1100,98800,1120,10100,1130,100,618600,1120,1050,VPB,18750,22.03,3.28,19939,1.8990:1
CVPB2402,HSC,4/12/2024,1470,170,820,640,100,790,43900,820,54500,820,500,0,0,870,2600,880,6500,890,30000,286700,830,800,VPB,18750,20.64,1.89,19000,2:01
CVPB2403,HSC,4/3/2025,1770,470,1120,1070,30000,1080,900,1090,1500,1150,1000,30,2.68,1160,100000,1190,36200,1200,13000,148500,1150,1100,VPB,18750,21.3,2.55,19000,2:01
CVPB2404,SSI,10/10/2024,1090,10,440,410,454800,420,134000,440,61600,460,100,20,4.55,460,454100,470,99600,480,530700,1832600,470,400,VPB,18750,20.42,1.67,19500,2:01
CVPB2405,SSI,12/11/2024,1170,10,520,500,454500,520,138900,530,63900,550,500,30,5.77,550,453600,560,101400,570,454700,1321600,570,510,VPB,18750,21.1,2.35,20000,2:01
CVPB2406,SSI,12/12/2024,1230,10,580,570,454800,580,144100,590,26900,590,39900,10,1.72,610,455200,620,104500,630,454700,176600,630,570,VPB,18750,21.68,2.93,20500,2:01
CVRE2315,SSI,7/10/2024,230,10,70,30,38200,40,181500,50,57700,60,12000,-10,-14.29,60,135500,70,582600,80,141900,200000,70,50,VRE,19500,30.48,10.98,30000,8:01
CVRE2319,KIS,3/10/2024,390,10,60,20,27400,30,31400,40,18000,60,100,0,0,60,66900,70,46800,80,77800,2300,60,40,VRE,19500,32.02,12.52,31777,4:01
CVRE2320,KIS,2/1/2025,880,10,210,150,204900,160,33000,170,13600,220,100,10,4.76,220,30700,230,281000,240,100700,16700,220,150,VRE,19500,32.77,13.27,32333,2:01
CVRE2401,HSC,4/12/2024,690,30,360,330,5000,340,1500,350,1900,360,2300,0,0,360,65000,370,22300,380,32200,211300,380,320,VRE,19500,22.94,3.44,21500,4:01
CVRE2402,HSC,4/3/2025,740,80,410,350,16900,360,32600,370,4000,380,2200,-30,-7.32,380,3000,390,31800,400,35000,395100,410,350,VRE,19500,25.02,5.52,23500,4:01
CVRE2403,SSI,12/11/2024,840,10,170,150,489100,160,474500,170,113600,170,26500,0,0,180,200300,190,249900,200,195300,2500100,200,160,VRE,19500,25.34,5.84,25000,2:01
CVRE2404,SSI,10/10/2024,910,10,240,200,455300,210,453700,220,304700,220,155700,-20,-8.33,230,110200,240,155600,250,120300,541000,250,210,VRE,19500,22.94,3.44,22500,2:01
Giá x 1 VNĐ. Khối lượng x 1. Giá trị x 1000000 VNĐ. Bản quyền thuộc về Công ty Cổ phần Chứng khoán SSI © 2019.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
